Ad Dujayl;IQ;33.84667;44.23444;Ad Dujayl;26362
Ad Diwaniyah;IQ;31.99289;44.92552;Ad Diwaniyah;318801
Abu Ghurayb;IQ;33.30563;44.18477;Abu Ghurayb;900000
Yanbu;SA;24.08954;38.0618;Yanbu;200161
Umm Lajj;SA;25.02126;37.2685;Umm Lajj;33874
Turaif;SA;31.67252;38.66374;Turaif;40819
Turabah;SA;21.21406;41.6331;Turabah;23235
Tarut;SA;26.5733;50.04028;Tarut;85371
Tabuk;SA;28.3998;36.57151;Tabuk;455450
Tubarjal;SA;30.49987;38.21603;Tubarjal;40019
Sultanah;SA;24.49258;39.58572;Sultanah;946697
Sayhat;SA;26.48345;50.04849;Sayhat;66702
Samitah;SA;16.59601;42.94435;Samitah;26945
Sakakah;SA;29.96974;40.20641;Sakakah;128332
Safwa;SA;26.6497;49.95522;Safwa;45876
Sabya;SA;17.1495;42.62537;Sabya;54108
Rahimah;SA;26.70791;50.06194;Rahimah;41188
Rabigh;SA;22.79856;39.03493;Rabigh;41759
Qal`at Bishah;SA;20.00054;42.6052;Qal`at Bishah;81828
Najran;SA;17.49326;44.12766;Najran;258573
Mecca;SA;21.42664;39.82563;Mecca;1323624
Khamis Mushait;SA;18.3;42.73333;Khamis Mushait;387553
Jizan;SA;16.88917;42.55111;Jizan;105198
Jeddah;SA;21.54238;39.19797;Jeddah;2867446
Ha'il;SA;27.52188;41.69073;Ha'il;267005
Hafar Al-Batin;SA;28.43279;45.97077;Hafar Al-Batin;271642
Duba;SA;27.35134;35.69014;Duba;22000
Buraydah;SA;26.32599;43.97497;Buraydah;391336
Abqaiq;SA;25.93402;49.6688;Abqaiq;29474
Badr Hunayn;SA;23.78292;38.79047;Badr Hunayn;27257
Az Zulfi;SA;26.29945;44.81542;Az Zulfi;53144
Dhahran;SA;26.28864;50.11396;Dhahran;99540
At Taraf;SA;25.36232;49.72757;At Taraf;21386
Ta'if;SA;21.27028;40.41583;Ta'if;530848
As Sulayyil;SA;20.46067;45.57792;As Sulayyil;24097
Riyadh;SA;24.68773;46.72185;Riyadh;4205961
Ar Rass;SA;25.86944;43.4973;Ar Rass;81728
Arar;SA;30.97531;41.03808;Arar;148540
An Nimas;SA;19.14547;42.12009;An Nimas;24153
Qurayyat;SA;31.33176;37.34282;Qurayyat;102903
Al Wajh;SA;26.24551;36.45249;Al Wajh;26636
Al-`Ula;SA;26.60853;37.92316;Al-`Ula;32413
Qaisumah;SA;28.31117;46.12729;Qaisumah;20685
Al Qatif;SA;26.56542;50.0089;Al Qatif;98259
Al Munayzilah;SA;25.38333;49.66667;Al Munayzilah;16296
Al Mubarraz;SA;25.40768;49.59028;Al Mubarraz;290802
Al Mithnab;SA;25.86012;44.22228;Al Mithnab;60870
Medina;SA;24.46861;39.61417;Medina;1300000
Khobar;SA;26.27944;50.20833;Khobar;165799
Al Kharj;SA;24.15541;47.33457;Al Kharj;425300
Al Khafji;SA;28.43905;48.49132;Al Khafji;54857
Al Jumum;SA;21.61694;39.69806;Al Jumum;22207
Al Jubayl;SA;27.0174;49.62251;Al Jubayl;237274
Al Hufuf;SA;25.36467;49.58764;Al Hufuf;293179
Al Bukayriyah;SA;26.13915;43.65782;Al Bukayriyah;25153
Al Battaliyah;SA;25.43333;49.63333;Al Battaliyah;16606
Al Bahah;SA;20.01288;41.46767;Al Bahah;88419
Afif;SA;23.9065;42.91724;Afif;45525
Ad Dilam;SA;23.99104;47.16181;Ad Dilam;35371
Ad Dawadimi;SA;24.50772;44.39237;Ad Dawadimi;54474
Dammam;SA;26.43442;50.10326;Dammam;768602
Abu `Arish;SA;16.96887;42.83251;Abu `Arish;49171
Abha;SA;18.21639;42.50528;Abha;210886
Azadshahr;IR;37.08641;55.17222;Azadshahr;47590
Zarand;IR;30.81271;56.56399;Zarand;58983
Zanjan;IR;36.67642;48.49628;Zanjan;357471
Yazd;IR;31.89722;54.3675;Yazd;477905
Varamin;IR;35.3242;51.6457;Varamin;179603
Torbat-e Heydariyeh;IR;35.27401;59.21949;Torbat-e Heydariyeh;125633
Tonekabon;IR;36.81626;50.87376;Tonekabon;37501
Tehran;IR;35.69439;51.42151;Tehran;7153309
Hashtpar;IR;37.79658;48.90521;Hashtpar;45305
Takestan;IR;36.07057;49.69571;Takestan;71499
Takab;IR;36.4009;47.1133;Takab;51541
Taft;IR;31.74384;54.20278;Taft;19394
Tabriz;IR;38.08;46.2919;Tabriz;1424641
Tabas;IR;33.59586;56.92437;Tabas;49993
Sonqor;IR;34.78187;47.59945;Sonqor;43174
Sirjan;IR;29.45137;55.6809;Sirjan;207645
Shushtar;IR;32.04972;48.84843;Shushtar;77507
Shush;IR;32.1942;48.2436;Shush;52284
Shirvan;IR;37.39669;57.92952;Shirvan;82790
Shiraz;IR;29.61031;52.53113;Shiraz;1249942
Shahr-e Kord;IR;32.32556;50.86444;Shahr-e Kord;129153
Shahr-e Babak;IR;30.1165;55.1186;Shahr-e Babak;52409
Shadegan;IR;30.64924;48.66497;Shadegan;37220
Semnan;IR;35.57691;53.39205;Semnan;124826
Semirom;IR;31.41667;51.56667;Semirom;27220
Saveh;IR;35.0213;50.3566;Saveh;175533
Sari;IR;36.56332;53.06009;Sari;255396
Saqqez;IR;36.24992;46.2735;Saqqez;151237
Sanandaj;IR;35.31495;46.99883;Sanandaj;349176
Salmas;IR;38.1973;44.7653;Salmas;81606
Shahin Dezh;IR;36.6793;46.5669;Shahin Dezh;41442
Sabzevar;IR;36.2126;57.68191;Sabzevar;226183
Rudsar;IR;37.13696;50.29174;Rudsar;47502
Robat Karim;IR;35.4846;51.0829;Robat Karim;62753
Ravar;IR;31.26562;56.80545;Ravar;40167
Rasht;IR;37.27611;49.58862;Rasht;594590
Ramshir;IR;30.89315;49.40787;Ramshir;19454
Ramhormoz;IR;31.27997;49.60351;Ramhormoz;38821
Rafsanjan;IR;30.4067;55.9939;Rafsanjan;147680
Quchan;IR;37.106;58.50955;Quchan;111752
Qorveh;IR;35.1664;47.80564;Qorveh;87953
