geonameid,sciiname,countrycode,fclass,fcode,latitude,longitude,moddate,name,population
4363675,New Point,US,P,PPLX,38.96956,-76.4869,,New Point,0
4356718,Great Marsh,US,H,SWMP,38.39429,-76.23911,,Great Marsh,0
4358037,Highlands of Olney,US,P,PPL,39.14677,-77.06498,,Highlands of Olney,0
4359104,Interchange 42,US,R,RDJCT,39.49593,-77.56832,,Interchange 42,0
4364077,Northwest Point,US,T,CAPE,39.14733,-76.0755,,Northwest Point,0
4361572,Manokin River,US,H,STM,38.08818,-75.92216,,Manokin River,0
4362193,Meetinghouse Branch,US,H,STM,38.78984,-76.90608,,Meetinghouse Branch,0
4363660,New Market Middle School,US,S,SCH,39.38482,-77.27694,,New Market Middle School,0
4358388,Holy Ghost Church,US,S,CH,38.29902,-76.88053,,Holy Ghost Church,0
4365389,Pikesville Memorial Library,US,S,LIBR,39.37427,-76.72192,,Pikesville Memorial Library,0
4359025,Interchange 17,US,R,RDJCT,39.45483,-76.64719,,Interchange 17,0
4364062,Northridge,US,P,PPL,39.5015,-76.29801,,Northridge,0
4358566,Horseshoe Bend,US,H,STMB,39.47677,-77.79333,,Horseshoe Bend,0
4365218,Perkins Square Baptist Church,US,S,CH,39.29511,-76.65691,,Perkins Square Baptist Church,0
4356517,Grace Bible Church,US,S,CH,39.64955,-76.88637,,Grace Bible Church,0
4365396,Pilchard Creek,US,H,STM,38.08957,-75.53326,,Pilchard Creek,0
4359333,James Point,US,T,CAPE,38.5279,-76.34356,,James Point,0
4364114,Notley Hall,US,S,BLDG,38.77539,-77.01859,,Notley Hall,0
4364620,Orme School,US,S,SCH,38.63456,-76.75636,,Orme School,0
4360663,Lincoln,US,P,PPL,38.96317,-76.81942,,Lincoln,0
4361203,Howard County Fire Department Station 9,US,S,BLDG,39.20793,-76.82586,,Howard County Fire Department Station 9,0
4356831,Green Springs Church,US,S,CH,39.58539,-76.20468,,Green Springs Church,0
4361930,Matapeake,US,P,PPL,38.959,-76.34551,,Matapeake,0
4356907,Greenlawn Cemetery,US,S,CMTY,38.56956,-76.10327,,Greenlawn Cemetery,0
4362891,Mount Airy Middle School,US,S,SCH,39.3804,-77.14638,,Mount Airy Middle School,0
4356161,Glade Town,US,P,PPLX,39.48538,-77.33415,,Glade Town,0
4360561,Leonardtown Wharf,US,S,WHRF,38.28596,-76.63885,,Leonardtown Wharf,0
4358108,Hillmead,US,P,PPL,38.99789,-77.1272,,Hillmead,0
4362454,Mill Cove,US,H,BAY,38.4379,-76.1505,,Mill Cove,0
4356193,Glen Burnie Industrial Park,US,L,INDS,39.17705,-76.62663,,Glen Burnie Industrial Park,0
4355577,Franklinville,US,P,PPL,39.44789,-76.38468,,Franklinville,0
4355695,Friendship,US,P,PPL,39.66232,-77.44027,,Friendship,0
4358847,Hyattsville City Hall,US,S,BLDG,38.95261,-76.94247,,Hyattsville City Hall,0
4357959,High Banks,US,P,PPL,38.79761,-75.92438,,High Banks,0
4359251,Ivory,US,P,PPL,39.28261,-76.97859,,Ivory,0
4363153,Mount Tabor Cemetery,US,S,CMTY,39.60482,-77.31748,,Mount Tabor Cemetery,0
4364638,Otterbein Memorial United Brethren in Christ Church,US,S,CH,39.33427,-76.63302,,Otterbein Memorial United Brethren in Christ Church,0
4356262,Glendale Park,US,L,PRK,39.37983,-76.58108,,Glendale Park,0
4362781,Moore Run Park,US,L,PRK,39.329,-76.53413,,Moore Run Park,0
4359645,Joyces Marina,US,S,MAR,39.04539,-76.57052,,Joyces Marina,0
4364887,Park Point,US,T,CAPE,39.07955,-76.47552,,Park Point,0
4357471,Harmony Cemetery,US,S,CMTY,39.60622,-76.19801,,Harmony Cemetery,0
4360150,Lake Clifton-Eastern High School (historical),US,S,SCH,39.31816,-76.58497,,Lake Clifton-Eastern High School (historical),0
4359734,Ken-Mar Manor,US,P,PPL,39.39621,-76.9947,,Ken-Mar Manor,0
